timestamp,generation_MWh,intensity_scope2,intensity_lc,emissions_scope2_t,emissions_lc_t
2026-07-13T00:00:00.000Z,30549,499.9,554.3,15272,16934
2026-07-13T01:00:00.000Z,29813,500.5,555.3,14922,16555
2026-07-13T02:00:00.000Z,29535,495.8,549.6,14643,16232
2026-07-13T03:00:00.000Z,29359,502.9,557,14765,16354
2026-07-13T04:00:00.000Z,34968,415.4,466.1,14525,16298
2026-07-13T05:00:00.000Z,41578,349.4,401.2,14528,16679
2026-07-13T06:00:00.000Z,49101,298,353,14634,17330
2026-07-13T07:00:00.000Z,55869,220.4,275.6,12316,15397
2026-07-13T08:00:00.000Z,62916,163.6,216.5,10296,13622
2026-07-13T09:00:00.000Z,67891,125,176.1,8488,11957
2026-07-13T10:00:00.000Z,70787,108.4,158.8,7672,11241
2026-07-13T11:00:00.000Z,70509,107.7,158.2,7596,11155
2026-07-13T12:00:00.000Z,67780,114.2,164.3,7741,11139
2026-07-13T13:00:00.000Z,63399,134.9,184.7,8549,11711
2026-07-13T14:00:00.000Z,58365,176.8,226.8,10320,13237
2026-07-13T15:00:00.000Z,54869,246.2,296.3,13508,16255
2026-07-13T16:00:00.000Z,50684,299.9,350.4,15200,17760
2026-07-13T17:00:00.000Z,49173,322.5,369.9,15858,18190
2026-07-13T18:00:00.000Z,45998,350.5,397.4,16124,18282
2026-07-13T19:00:00.000Z,46430,360.7,406.3,16747,18866
2026-07-13T20:00:00.000Z,46939,356,400.7,16710,18809
2026-07-13T21:00:00.000Z,45605,373.8,419.4,17049,19126
2026-07-13T22:00:00.000Z,41719,398.7,447.3,16635,18660
2026-07-13T23:00:00.000Z,39752,415.9,466.4,16534,18540
