Date;Nuclear;Lignite;Coal;Gas;Other Fossil;Hydro;Wind;Solar;Biomass;Other Renewables;Total CO2 Emissions;CO2 Intensity;Missing Data;Missing Data Line
10/06 00:00 UTC;0;7150.6186;1011.493;3386.0589;1978.5816999999997;9.0341;504.1916;0.1932;199.3767;3.9771;14243.5249;413.2583;0;0
10/06 01:00 UTC;0;7228.3537;1017.1191;3518.9379;1865.5872;8.9132;471.24;0.1917;197.6853;3.7783;14311.8064;423.1193;0;0
10/06 02:00 UTC;0;7928.3499;1214.4928;4218.0975;1931.3532;9.0849;438.3542;0.778;201.3779;3.712;15945.6004;451.914;0;0
10/06 03:00 UTC;0;8512.1274;1435.4533;4575.3834;1961.9058;10.4216;401.2976;37.9901;208.8961;3.712;17147.187299999998;466.4083;0;0
10/06 04:00 UTC;0;9042.971;1708.447;5544.2004;2065.568;22.856599999999997;332.6014;225.9793;226.004;3.712;19172.339699999997;438.7706;0;0
10/06 05:00 UTC;0;9294.2054;1994.1329;5798.7452;1963.5908;33.6647;242.498;641.1311;236.4525;3.712;20208.132600000004;394.396;0;0
10/06 06:00 UTC;0;9361.4338;2242.4401;5753.6248;2074.6613;28.0076;200.35610000000003;1234.4612;233.7712;3.712;21132.4681;365.085;0;0
10/06 07:00 UTC;0;8760.0107;2218.5771;5163.1536;2074.7241;16.558999999999997;205.6638;1848.4419;222.8212;3.712;20513.6634;327.7087;0;0
10/06 08:00 UTC;0;7770.4687;2122.2004;3972.1758;1953.0758;14.286699999999998;215.7096;2254.1046;212.8746;3.712;18518.6082;285.5587;0;0
10/06 09:00 UTC;0;6918.2701;1850.7032;2798.303;1888.2747;12.0582;277.40070000000003;2409.665;206.8165;3.712;16365.2034;252.4605;0;0
10/06 10:00 UTC;0;5947.6307;1397.0343;2312.4513;1823.5570999999998;11.130600000000001;299.6972;2410.5187;202.613;3.712;14408.3449;229.2458;0;0
10/06 11:00 UTC;0;6611.877;1299.9253;2158.4664;1836.0343999999998;9.7583;343.8693;2344.0984;201.5338;3.712;14809.2749;235.4784;0;0
10/06 12:00 UTC;0;6347.683;1250.8235;2105.235;1861.6380000000001;10.884599999999999;393.9889;2136.1484;200.5141;3.712;14310.627500000002;234.7544;0;0
10/06 13:00 UTC;0;6326.1996;1371.1496;2085.096;1862.9216000000001;11.2007;424.1574;1866.4887;202.2987;3.712;14153.2243;244.5777;0;0
10/06 14:00 UTC;0;6814.3935;1656.6628;2148.2947;1925.3768999999998;10.2293;465.5662;1543.3768;209.2575;3.712;14776.8697;269.3125;0;0
10/06 15:00 UTC;0;7929.6181;1957.1266;2597.4906;2030.8295;12.173;533.3224;1121.7607;217.7687;3.712;16403.8016;308.6045;0;0
10/06 16:00 UTC;0;8331.6115;2261.4536;3374.8157;1978.8482999999999;18.709799999999998;629.2452000000001;681.0491;230.3706;3.712;17509.8158;330.4964;0;0
10/06 17:00 UTC;0;8305.5589;2258.9907;3852.9193;1959.8869;26.2332;687.4293;306.2976;238.0888;3.712;17639.1167;341.1141;0;0
10/06 18:00 UTC;0;8278.4051;2559.6837;4122.8889;2025.1935999999998;28.209;736.5275;81.3608;239.7924;0;18072.060999999998;355.2687;0;0
10/06 19:00 UTC;0;7958.0957;3088.2577;3940.6129;1993.8861;22.448;800.9249;4.5948;236.0138;0;18044.8339;362.352;0;0
10/06 20:00 UTC;0;7636.6267;3402.0176;3739.4296;1925.2617;16.1025;828.1074;0.2108;227.8464;0;17775.6027;367.5381;0;0
10/06 21:00 UTC;0;6831.9362;3422.8555;3361.2169;1977.6940000000002;10.8795;889.8203;0.2352;218.3453;0;16712.9829;354.5558;0;0
10/06 22:00 UTC;0;5311.4839;2912.543;2724.3857;2020.6289000000002;8.9745;946.774;0.224;207.7793;3.712;14136.5053;314.3072;0;0
10/06 23:00 UTC;0;5565.2657;2559.336;2372.6414;1984.7441999999999;8.9294;970.2733000000001;0.2287;202.5656;3.712;13667.6963;305.8286;0;0
11/06 00:00 UTC;0;5631.6208;2528.8508;2342.8919;1975.1891;10.108099999999999;998.0194;0.2007;200.7589;3.712;13691.351700000001;300.0374;0;0
11/06 01:00 UTC;0;5582.8668;2494.6206;2300.8688;2005.4144999999999;9.3629;1002.9864;0.1948;200.3544;3.712;13600.3812;299.3275;0;0
11/06 02:00 UTC;0;5479.3767;2426.096;2225.7849;1876.6394999999998;9.995899999999999;1003.8625000000001;0.6055;203.0633;3.712;13229.1363;291.9979;0;0
11/06 03:00 UTC;0;5754.6086;2478.9231;2207.2279;1757.9676;11.3724;978.3175;26.3163;208.8374;3.712;13427.282799999999;294.0692;0;0
11/06 04:00 UTC;0;5513.6305;2480.2249;2570.3629;1748.0386;19.5023;963.9740999999999;178.3807;223.2179;3.712;13701.0439;272.7344;0;0
11/06 05:00 UTC;0;6531.7447;2464.2931;2804.057;1833.1491999999998;21.695300000000003;958.8162;489.4524;227.7903;3.712;15334.710200000001;270.1527;0;0
11/06 06:00 UTC;0;6453.0947;2037.9266;2600.0062;1877.5499000000002;15.5643;936.0372;909.996;222.3759;3.712;15056.2628;250.6229;0;0
11/06 07:00 UTC;0;6395.1216;1657.045;2512.915;1852.7319;11.998899999999999;901.883;1300.7307;212.6683;3.712;14848.8064;234.0986;0;0
11/06 08:00 UTC;0;6323.1433;1677.1162;2693.5964;1746.5482;12.4808;879.0675;1638.5265;207.103;3.712;15181.2939;222.7379;0;0
11/06 09:00 UTC;0;5230.4839;1650.265;2207.5037;1810.0692;10.8033;897.8783;1925.5944;203.0319;3.712;13939.341699999999;197.5681;0;0
11/06 10:00 UTC;0;4558.4786;1265.7617;1994.5604;1804.584;9.573500000000001;905.3411;2065.5299;198.6573;3.712;12806.198500000002;180.1321;0;0
11/06 11:00 UTC;0;4511.4043;1209.4657;2026.3166;1853.0049000000001;9.488199999999999;900.2396;2138.6474;197.1;3.712;12849.378700000001;178.525;0;0
11/06 12:00 UTC;0;4522.8983;1204.9416;2139.6527;1990.0166;9.590699999999998;860.9531999999999;2165.4406;198.3379;3.712;13095.5436;182.6958;0;0
11/06 13:00 UTC;0;4604.7103;1181.478;2117.4103;1914.6057999999998;9.5626;843.3065;2056.3292;200.0105;3.712;12931.125199999999;185.8233;0;0
11/06 14:00 UTC;0;5154.7457;1268.1186;2169.147;1863.7151;9.722100000000001;825.1572;1771.9246;205.0157;3.712;13271.258;202.1829;0;0
11/06 15:00 UTC;0;6193.7731;1569.4847;2150.227;1834.8821;11.4152;843.3490999999999;1353.138;210.8214;3.5794;14170.67;230.3209;0;0
11/06 16:00 UTC;0;7660.5684;2020.7301;2754.7011;1924.3142;14.944099999999999;825.2837;868.2825;222.9541;3.4469;16295.225100000001;281.8614;0;0
11/06 17:00 UTC;0;8257.5029;2254.6268;3787.8438;1976.6623;21.499499999999998;731.0726999999999;427.4656;235.1116;0;17691.7852;332.2761;0;0
11/06 18:00 UTC;0;8302.0521;2138.1395;4232.2384;1851.3592999999998;32.1886;639.3564;145.1712;241.0234;0;17581.5289;351.7111;0;0
11/06 19:00 UTC;0;8379.5424;2061.1264;4173.8315;1649.8054000000002;32.7263;624.379;12.9618;239.0414;0;17173.414200000003;361.5435;0;0
11/06 20:00 UTC;0;8741.8924;1951.1454;4038.0993;1661.7929;23.8747;608.8347;0.6387;231.3535;0;17257.6316;386.5332;0;0
11/06 21:00 UTC;0;9200.2821;1764.9871;3583.5473;1725.3022999999998;12.7806;630.639;0.2269;219.7152;0;17137.4805;410.3559;0;0
11/06 22:00 UTC;0;8934.0941;1224.8747;3155.0214;1815.0388;10.371300000000002;635.0228999999999;0.3223;208.8686;3.5529;15987.167000000001;403.135;0;0
11/06 23:00 UTC;0;8577.0948;1073.5384;2852.5934;1753.6592999999998;9.4484;611.3251;0.4008;205.004;3.2745;15086.3387;400.5333;0;0
12/06 00:00 UTC;0;8451.3038;1054.5865;2755.7648;1743.6805000000002;9.434000000000001;609.8437;0.3421;203.8216;3.1817;14831.958700000001;397.9149;0;0
12/06 01:00 UTC;0;8451.6347;1047.9224;2785.2432;1686.6693;8.8839;581.1533999999999;0.3106;203.7636;3.1817;14768.762799999999;405.5527;0;0
12/06 02:00 UTC;0;8704.7491;1049.7246;2873.0715;1712.3812;8.9418;583.8736;0.9066;207.2971;3.1817;15144.1272;409.3785;0;0
12/06 03:00 UTC;0;8987.9124;1154.2299;3120.8098;1705.7323000000001;9.8593;552.7636;41.363;214.3052;3.1817;15790.157199999998;415.9635;0;0
12/06 04:00 UTC;0;9974.4342;1428.9766;3381.7284;1624.0458999999998;17.9971;489.546;266.2075;229.6242;3.1817;17415.7416;400.4164;0;0
12/06 05:00 UTC;0;10139.4765;1494.91;3473.1517;1662.1718999999998;25.165599999999998;402.76239999999996;764.9469;235.0248;3.1817;18200.7915;357.6856;0;0
12/06 06:00 UTC;0;8989.7618;1458.8528;2831.4843;1640.4736000000003;18.095499999999998;394.3055;1435.3193;229.6861;3.1817;17001.160600000003;300.3892;0;0
12/06 07:00 UTC;0;6616.7187;1462.4425;2128.3587;1656.7949999999998;12.9311;430.4465;2015.4675;215.5197;3.1817;14541.8614;237.4516;0;0
12/06 08:00 UTC;0;5932.3824;1467.5411;2105.6851;1672.7875999999999;12.108699999999999;440.41279999999995;2305.1722;208.79;3.1817;14148.0616;218.1098;0;0
12/06 09:00 UTC;0;5666.3613;1445.2115;2082.4536;1642.1285;11.5661;492.8489;2397.4129;205.2212;3.1817;13946.3857;207.8389;0;0
12/06 10:00 UTC;0;5568.03;1447.9087;2033.9981;1518.7723;11.5444;510.6078;2439.9485;201.017;3.1817;13735.0085;202.3285;0;0
12/06 11:00 UTC;0;5578.114;1436.0475;1998.4804;1542.2885;11.3236;496.1451;2447.0525;200.7311;3.1817;13713.3644;203.1783;0;0
12/06 12:00 UTC;0;5581.5347;1434.2403;1993.0529;1531.2813;10.5045;543.2280000000001;2419.153;202.0133;3.1817;13718.1897;201.35;0;0
12/06 13:00 UTC;0;5853.9159;1431.8242;2040.6065;1501.8839;10.4085;548.8792;2195.1246;204.8537;3.1817;13790.6782;211.2551;0;0
12/06 14:00 UTC;0;6018.6579;1431.4445;2076.3034;1583.7714;10.8074;564.81;1851.5603;209.5767;3.1817;13750.113299999999;225.4149;0;0
12/06 15:00 UTC;0;8178.0159;1744.7901;2240.3093;1588.8239999999998;12.8765;531.6374;1408.7352;216.9788;3.1817;15925.3489;280.9042;0;0
12/06 16:00 UTC;0;11314.1676;2023.3829;3709.9669;1563.9492;13.7131;521.1027;889.9251;228.6686;3.1817;20268.057800000002;368.4614;0;0
12/06 17:00 UTC;0;11890.4669;2298.0236;5062.7965;1587.1587999999997;21.9882;488.76980000000003;421.4524;238.6907;3.3143;22012.661200000002;417.6798;0;0
12/06 18:00 UTC;0;12019.9845;2465.2497;5441.0472;1622.511;25.1037;426.96659999999997;133.4843;241.5707;0;22375.917699999998;461.1895;0;0
12/06 19:00 UTC;0;12375.1762;2352.2486;5577.1994;1599.2667000000001;23.096999999999998;386.54089999999997;10.8871;239.9875;0;22564.403400000003;494.8124;0;0
12/06 20:00 UTC;0;12373.1433;2216.2201;5737.7894;1639.2882;28.1215;348.3207;1.0058;234.7375;0;22578.6265;493.7006;0;0
12/06 21:00 UTC;0;12286.484;2060.5914;4921.0282;1594.9667;18.7373;351.0564;0.7383;223.0303;0;21456.6326;516.6183;0;0
12/06 22:00 UTC;0;12311.858;2101.8925;4274.6451;1615.4947;15.3412;344.1341;0.4392;213.9095;3.3938;20881.1081;531.9827;0;0
12/06 23:00 UTC;0;12198.6538;2050.6828;3884.701;1502.6374;13.921899999999999;336.4246;0.4388;209.479;3.3938;20200.3331;536.1888;0;0
13/06 00:00 UTC;0;12138.5393;1869.978;3849.8426;1484.3108;9.8549;326.6727;0.2852;206.7178;3.3938;19889.5951;550.8087;0;0
13/06 01:00 UTC;0;12207.0581;1806.0934;3887.3545;1479.7995;10.2122;333.9656;0.2939;206.3505;3.3938;19934.521500000003;546.8228;0;0
13/06 02:00 UTC;0;12095.4252;1895.271;3841.4241;1453.4442;10.47;334.0611;0.8702;209.3227;3.3938;19843.6823;544.1223;0;0
13/06 03:00 UTC;0;12277.6709;2074.785;4348.5735;1525.3772;14.4306;310.8347;40.5291;215.4737;3.3938;20811.068499999998;535.6312;0;0
13/06 04:00 UTC;0;12263.8298;2159.2782;4652.0731;1499.2642;23.3549;271.3552;249.4788;228.486;3.3938;21350.514;485.9112;0;0
13/06 05:00 UTC;0;12192.1101;2160.1362;4933.0608;1449.1303;29.5773;177.35559999999998;676.9771;235.1696;3.3938;21856.9108;437.9002;0;0
13/06 06:00 UTC;0;11784.8661;2054.2306;4552.862;1460.0622999999998;23.3138;139.4049;1299.0834;231.9096;3.3938;21549.126500000002;388.3431;0;0
13/06 07:00 UTC;0;9801.1017;1397.9588;2673.5066;1457.4804;12.8649;143.748;1914.6512;216.6482;3.3938;17621.3536;314.5611;0;0
13/06 08:00 UTC;0;7300.1151;1050.77;2016.5666;1436.8206;10.799900000000001;178.25910000000002;2328.0277;208.7043;3.3938;14533.4571;247.9711;0;0
13/06 09:00 UTC;0;6795.1266;1037.8658;1918.5158;1451.8402;10.0578;219.0111;2525.7846;204.8028;3.3938;14166.3985;229.4585;0;0
13/06 10:00 UTC;0;6684.8175;919.4604;1830.0107;1485.336;10.9158;235.46980000000002;2591.6357;201.4876;3.3938;13962.5273;221.8738;0;0
