timestamp,produktionsmix_g_kwh,verbrauchsmix_g_kwh,erzeugung_MWh,import_MWh,export_MWh,netto_MWh
2024-06-10T00:00:00.000Z,401.6,309.7,33264,10986,2698,8288
2024-06-10T01:00:00.000Z,412.3,319.6,32570,10470,2346,8124
2024-06-10T02:00:00.000Z,440.8,339.8,33777,10871,2614,8257
2024-06-10T03:00:00.000Z,457.7,359.0,35112,10543,2345,8198
2024-06-10T04:00:00.000Z,453.2,372.3,41316,9974,2241,7734
2024-06-10T05:00:00.000Z,426.6,369.9,48125,8257,2425,5832
2024-06-10T06:00:00.000Z,384.8,344.8,54103,6926,3419,3507
2024-06-10T07:00:00.000Z,328.8,303.0,58287,5426,4891,536
2024-06-10T08:00:00.000Z,285.3,263.3,60523,5547,5730,-183
2024-06-10T09:00:00.000Z,249.5,229.2,60696,6272,5135,1137
2024-06-10T10:00:00.000Z,224.4,205.8,58852,6503,5291,1211
2024-06-10T11:00:00.000Z,229.4,209.3,59011,7036,4833,2203
2024-06-10T12:00:00.000Z,228.9,212.0,57343,7840,4430,3410
2024-06-10T13:00:00.000Z,239.3,230.5,54603,9419,4874,4545
2024-06-10T14:00:00.000Z,262.8,257.6,52036,11418,4741,6676
2024-06-10T15:00:00.000Z,302.4,275.5,50692,11278,4055,7222
2024-06-10T16:00:00.000Z,332.6,309.5,50706,9433,4199,5234
2024-06-10T17:00:00.000Z,353.7,322.6,49645,9700,3687,6014
2024-06-10T18:00:00.000Z,372.0,335.5,49156,8546,3191,5355
2024-06-10T19:00:00.000Z,368.2,330.8,48294,6457,2896,3561
2024-06-10T20:00:00.000Z,363.2,324.8,47061,6424,3889,2534
2024-06-10T21:00:00.000Z,340.9,313.6,46057,5287,4522,766
2024-06-10T22:00:00.000Z,296.9,276.3,43986,4893,3686,1207
2024-06-10T23:00:00.000Z,287.6,267.9,43720,5162,3834,1328
2024-06-11T00:00:00.000Z,282.8,265.3,44631,5164,4677,487
2024-06-11T01:00:00.000Z,281.0,259.9,44446,5760,5180,580
2024-06-11T02:00:00.000Z,277.6,259.4,44381,5343,4909,434
2024-06-11T03:00:00.000Z,281.6,257.6,44637,6005,4159,1846
2024-06-11T04:00:00.000Z,274.6,252.2,48826,6404,3632,2772
2024-06-11T05:00:00.000Z,274.5,255.6,54813,5927,3552,2375
2024-06-11T06:00:00.000Z,244.9,227.6,57621,5593,3059,2534
2024-06-11T07:00:00.000Z,224.1,216.1,60489,4831,4265,566
2024-06-11T08:00:00.000Z,213.2,226.1,64698,4063,6305,-2242
2024-06-11T09:00:00.000Z,185.2,214.9,66878,3698,7162,-3464
2024-06-11T10:00:00.000Z,167.8,190.4,67379,3477,7108,-3631
2024-06-11T11:00:00.000Z,166.2,185.4,68193,3420,8416,-4996
2024-06-11T12:00:00.000Z,168.1,187.8,67755,3249,8908,-5659
2024-06-11T13:00:00.000Z,171.7,189.2,65842,3231,8194,-4963
2024-06-11T14:00:00.000Z,189.1,199.4,62260,3657,6536,-2879
2024-06-11T15:00:00.000Z,220.1,209.5,58717,4065,4610,-545
