timestamp,marginaler_traeger,marginal_ohne_speicher,mef_g_kwh,aef_stunde_g_kwh,deckungsgrad
2023-12-10T01:00:00.000Z,Biomasse,Biomasse,53,214.7,0.51
2023-12-10T02:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,223.0,0.49
2023-12-10T03:00:00.000Z,Erdgas,Erdgas,492,228.4,0.38
2023-12-10T04:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,230.2,4.91
2023-12-10T05:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,236.5,0.36
2023-12-10T06:00:00.000Z,Erdgas,Erdgas,492,233.9,0.75
2023-12-10T07:00:00.000Z,Erdgas,Erdgas,492,230.9,0.88
2023-12-10T08:00:00.000Z,Erdgas,Erdgas,492,227.1,0.52
2023-12-10T09:00:00.000Z,Pumpspeicher,Erdgas,957,221.3,0.79
2023-12-10T10:00:00.000Z,Pumpspeicher,Steinkohle,957,212.8,0.73
2023-12-10T11:00:00.000Z,Biomasse,Biomasse,53,207.9,0.45
2023-12-10T12:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,210.4,2.04
2023-12-10T13:00:00.000Z,Braunkohle,Braunkohle,1097,220.9,0.63
2023-12-10T14:00:00.000Z,Braunkohle,Braunkohle,1097,251.3,0.64
2023-12-10T15:00:00.000Z,Pumpspeicher,Braunkohle,957,279.7,0.37
2023-12-10T16:00:00.000Z,Pumpspeicher,Braunkohle,957,297.4,0.56
2023-12-10T17:00:00.000Z,Pumpspeicher,Steinkohle,957,307.2,2.91
2023-12-10T18:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,957,310.6,1.11
2023-12-10T19:00:00.000Z,Erdgas,Erdgas,492,317.8,0.41
2023-12-10T20:00:00.000Z,Pumpspeicher,Erdgas,957,317.3,0.74
2023-12-10T21:00:00.000Z,Erdgas,Erdgas,492,319.2,0.30
2023-12-10T22:00:00.000Z,Braunkohle,Braunkohle,1097,294.6,0.58
2023-12-10T23:00:00.000Z,Braunkohle,Braunkohle,1097,273.9,0.44
2023-12-11T00:00:00.000Z,Braunkohle,Braunkohle,1097,263.1,0.53
2023-12-11T01:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,258.9,0.45
2023-12-11T02:00:00.000Z,Braunkohle,Braunkohle,1097,262.0,0.62
2023-12-11T03:00:00.000Z,Braunkohle,Braunkohle,1097,283.4,0.54
2023-12-11T04:00:00.000Z,Braunkohle,Braunkohle,1097,321.6,0.66
2023-12-11T05:00:00.000Z,Braunkohle,Braunkohle,1097,354.1,0.30
2023-12-11T06:00:00.000Z,Braunkohle,Braunkohle,1097,390.0,0.36
2023-12-11T07:00:00.000Z,Braunkohle,Braunkohle,1097,404.8,0.77
2023-12-11T08:00:00.000Z,Pumpspeicher,Braunkohle,957,407.6,0.52
2023-12-11T09:00:00.000Z,Pumpspeicher,Erdgas,957,408.1,1.64
2023-12-11T10:00:00.000Z,Pumpspeicher,Erdgas,957,407.0,3.35
2023-12-11T11:00:00.000Z,Braunkohle,Braunkohle,1097,407.9,2.28
2023-12-11T12:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,957,409.2,2.10
2023-12-11T13:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,419.4,0.92
2023-12-11T14:00:00.000Z,Steinkohle,Steinkohle,968,426.3,5.85
2023-12-11T15:00:00.000Z,Steinkohle,Steinkohle,968,438.2,0.40
2023-12-11T16:00:00.000Z,Pumpspeicher,Steinkohle,957,451.7,0.62
2023-12-11T17:00:00.000Z,Steinkohle,Steinkohle,968,465.0,0.56
2023-12-11T18:00:00.000Z,Pumpspeicher,Erdgas,957,471.9,0.92
2023-12-11T19:00:00.000Z,Pumpspeicher,Erdgas,957,479.6,0.66
2023-12-11T20:00:00.000Z,Pumpspeicher,Steinkohle,957,485.8,0.40
2023-12-11T21:00:00.000Z,Erdgas,Erdgas,492,498.1,0.48
2023-12-11T22:00:00.000Z,Steinkohle,Steinkohle,968,514.7,0.48
2023-12-11T23:00:00.000Z,Steinkohle,Steinkohle,968,544.4,2.26
2023-12-12T00:00:00.000Z,Braunkohle,Braunkohle,1097,575.5,1.74
2023-12-12T01:00:00.000Z,Erdgas,Erdgas,492,609.1,1.02
2023-12-12T02:00:00.000Z,Erdgas,Erdgas,492,632.8,0.65
2023-12-12T03:00:00.000Z,Erdgas,Erdgas,492,646.5,0.88
2023-12-12T04:00:00.000Z,Erdgas,Erdgas,492,659.7,0.61
2023-12-12T05:00:00.000Z,Erdgas,Erdgas,492,669.2,0.43
2023-12-12T06:00:00.000Z,Pumpspeicher,Erdgas,957,665.0,0.49
2023-12-12T07:00:00.000Z,Steinkohle,Steinkohle,968,670.4,0.49
2023-12-12T08:00:00.000Z,Pumpspeicher,Biomasse,957,661.1,1.16
2023-12-12T09:00:00.000Z,Pumpspeicher,Braunkohle,957,648.3,0.61
2023-12-12T10:00:00.000Z,Braunkohle,Braunkohle,1097,644.4,2.94
2023-12-12T11:00:00.000Z,Pumpspeicher,Steinkohle,957,654.2,1.22
2023-12-12T12:00:00.000Z,Erdgas,Erdgas,492,658.2,1.04
2023-12-12T13:00:00.000Z,Pumpspeicher,Steinkohle,957,653.2,1.33
2023-12-12T14:00:00.000Z,Sonstige Konventionelle,Sonstige Konventionelle,1384,631.4,0.79
2023-12-12T15:00:00.000Z,Erdgas,Erdgas,492,603.0,3.50
2023-12-12T16:00:00.000Z,Pumpspeicher,Braunkohle,957,579.8,0.55
2023-12-12T17:00:00.000Z,Pumpspeicher,Steinkohle,957,564.1,0.55
2023-12-12T18:00:00.000Z,Erdgas,Erdgas,492,551.4,0.59
2023-12-12T19:00:00.000Z,Erdgas,Erdgas,492,535.1,0.58
2023-12-12T20:00:00.000Z,Erdgas,Erdgas,492,516.2,0.43
2023-12-12T21:00:00.000Z,Erdgas,Erdgas,492,502.2,0.49
2023-12-12T22:00:00.000Z,Steinkohle,Steinkohle,968,483.3,0.43
2023-12-12T23:00:00.000Z,Braunkohle,Braunkohle,1097,450.4,0.54
2023-12-13T00:00:00.000Z,Braunkohle,Braunkohle,1097,442.6,1.16
2023-12-13T01:00:00.000Z,Erdgas,Erdgas,492,441.0,8.02
2023-12-13T02:00:00.000Z,Braunkohle,Braunkohle,1097,438.2,0.63
2023-12-13T03:00:00.000Z,Braunkohle,Braunkohle,1097,453.2,0.62
2023-12-13T04:00:00.000Z,Braunkohle,Braunkohle,1097,475.7,0.63
2023-12-13T05:00:00.000Z,Erdgas,Erdgas,492,509.2,0.33
2023-12-13T06:00:00.000Z,Erdgas,Erdgas,492,531.0,0.43
2023-12-13T07:00:00.000Z,Erdgas,Erdgas,492,536.2,0.33
2023-12-13T08:00:00.000Z,Erdgas,Erdgas,492,531.9,4.84
2023-12-13T09:00:00.000Z,Pumpspeicher,Braunkohle,957,523.6,1.15
2023-12-13T10:00:00.000Z,Pumpspeicher,Erdgas,957,521.9,0.42
2023-12-13T11:00:00.000Z,Erdgas,Erdgas,492,528.4,0.85
2023-12-13T12:00:00.000Z,Erdgas,Erdgas,492,533.1,2.29
2023-12-13T13:00:00.000Z,Erdgas,Erdgas,492,550.6,0.55
2023-12-13T14:00:00.000Z,Pumpspeicher,Erdgas,957,559.1,0.63
2023-12-13T15:00:00.000Z,Pumpspeicher,Braunkohle,957,558.6,0.97
2023-12-13T16:00:00.000Z,Pumpspeicher,Erdgas,957,555.4,0.49
2023-12-13T17:00:00.000Z,Pumpspeicher,Erdgas,957,552.3,0.66
2023-12-13T18:00:00.000Z,Pumpspeicher,Erdgas,957,552.5,0.47
2023-12-13T19:00:00.000Z,Erdgas,Erdgas,492,558.4,0.69
2023-12-13T20:00:00.000Z,Erdgas,Erdgas,492,557.7,0.39
2023-12-13T21:00:00.000Z,Erdgas,Erdgas,492,566.5,0.50
2023-12-13T22:00:00.000Z,Erdgas,Erdgas,492,570.0,0.51
2023-12-13T23:00:00.000Z,Braunkohle,Braunkohle,1097,573.7,0.56
2023-12-14T00:00:00.000Z,Braunkohle,Braunkohle,1097,581.2,0.66
2023-12-14T01:00:00.000Z,Braunkohle,Braunkohle,1097,603.1,0.79
2023-12-14T02:00:00.000Z,Braunkohle,Braunkohle,1097,616.8,2.65
2023-12-14T03:00:00.000Z,Braunkohle,Braunkohle,1097,637.5,0.44
2023-12-14T04:00:00.000Z,Erdgas,Erdgas,492,667.6,0.38
2023-12-14T05:00:00.000Z,Erdgas,Erdgas,492,687.7,0.47
2023-12-14T06:00:00.000Z,Erdgas,Erdgas,492,691.8,0.42
2023-12-14T07:00:00.000Z,Pumpspeicher,Erdgas,957,687.3,0.29
2023-12-14T08:00:00.000Z,Steinkohle,Steinkohle,968,681.3,0.53
2023-12-14T09:00:00.000Z,Pumpspeicher,Erdgas,957,677.2,0.84
2023-12-14T10:00:00.000Z,Pumpspeicher,Braunkohle,957,678.0,0.56
2023-12-14T11:00:00.000Z,Pumpspeicher,Steinkohle,957,676.3,0.43
2023-12-14T12:00:00.000Z,Erdgas,Erdgas,492,676.7,0.42
2023-12-14T13:00:00.000Z,Pumpspeicher,Erdgas,957,673.9,1.10
2023-12-14T14:00:00.000Z,Pumpspeicher,Steinkohle,957,683.1,0.62
2023-12-14T15:00:00.000Z,Pumpspeicher,Sonstige Konventionelle,957,681.7,0.51
2023-12-14T16:00:00.000Z,Pumpspeicher,Erdgas,957,674.1,0.62
2023-12-14T17:00:00.000Z,Pumpspeicher,Steinkohle,957,678.1,0.63
