timestamp,marginaler_traeger,marginal_ohne_speicher,mef_g_kwh,aef_stunde_g_kwh,deckungsgrad
2024-06-10T01:00:00.000Z,Erdgas,Erdgas,492,412.3,1.35
2024-06-10T02:00:00.000Z,Erdgas,Erdgas,492,440.8,0.54
2024-06-10T03:00:00.000Z,Erdgas,Erdgas,492,458.1,0.32
2024-06-10T04:00:00.000Z,Pumpspeicher,Erdgas,751,457.5,0.47
2024-06-10T05:00:00.000Z,Pumpspeicher,Erdgas,751,433.6,0.70
2024-06-10T06:00:00.000Z,Pumpspeicher,Erdgas,751,389.6,1.14
2024-06-10T07:00:00.000Z,Pumpspeicher,Erdgas,751,330.6,0.55
2024-06-10T08:00:00.000Z,Erdgas,Erdgas,492,286.5,0.53
2024-06-10T09:00:00.000Z,Erdgas,Erdgas,492,250.1,0.52
2024-06-10T10:00:00.000Z,Braunkohle,Braunkohle,1097,224.7,0.36
2024-06-10T11:00:00.000Z,Erdgas,Erdgas,492,229.6,3.68
2024-06-10T12:00:00.000Z,Braunkohle,Braunkohle,1097,229.1,1.97
2024-06-10T13:00:00.000Z,Steinkohle,Steinkohle,968,239.6,0.74
2024-06-10T14:00:00.000Z,Braunkohle,Braunkohle,1097,263.0,0.57
2024-06-10T15:00:00.000Z,Braunkohle,Braunkohle,1097,303.0,0.38
2024-06-10T16:00:00.000Z,Pumpspeicher,Erdgas,751,334.9,0.39
2024-06-10T17:00:00.000Z,Pumpspeicher,Erdgas,751,358.2,0.63
2024-06-10T18:00:00.000Z,Pumpspeicher,Erdgas,751,377.2,0.40
2024-06-10T19:00:00.000Z,Pumpspeicher,Braunkohle,751,372.0,0.78
2024-06-10T20:00:00.000Z,Pumpspeicher,Erdgas,751,365.2,0.71
2024-06-10T21:00:00.000Z,Pumpspeicher,Braunkohle,751,341.4,0.43
2024-06-10T22:00:00.000Z,Braunkohle,Braunkohle,1097,297.0,0.39
2024-06-10T23:00:00.000Z,Erdgas,Erdgas,492,287.7,0.64
2024-06-11T00:00:00.000Z,Pumpspeicher,Braunkohle,751,282.9,0.38
2024-06-11T01:00:00.000Z,Pumpspeicher,Erdgas,751,281.0,0.35
2024-06-11T02:00:00.000Z,Erdgas,Erdgas,492,277.8,1.34
2024-06-11T03:00:00.000Z,Braunkohle,Braunkohle,1097,282.2,0.43
2024-06-11T04:00:00.000Z,Pumpspeicher,Erdgas,751,277.3,0.67
