timestamp,eigen_lc,eigen_scope2,ggc_lc,diff_g_kwh,diff_prozent
2024-06-10T00:00:00.000Z,421.5,372.5,413.3,8.2,1.99
2024-06-10T01:00:00.000Z,432.4,382.1,423.1,9.3,2.19
2024-06-10T02:00:00.000Z,460.6,407.3,451.9,8.7,1.92
2024-06-10T03:00:00.000Z,477.6,421.9,466.4,11.2,2.40
2024-06-10T04:00:00.000Z,472.6,412.8,438.8,33.8,7.71
2024-06-10T05:00:00.000Z,445.0,383.3,394.4,50.6,12.83
2024-06-10T06:00:00.000Z,400.6,339.7,365.1,35.5,9.73
2024-06-10T07:00:00.000Z,342.0,283.6,327.7,14.3,4.36
2024-06-10T08:00:00.000Z,297.4,241.6,285.6,11.8,4.15
2024-06-10T09:00:00.000Z,261.0,208.4,252.5,8.5,3.38
2024-06-10T10:00:00.000Z,235.9,184.8,229.2,6.7,2.90
2024-06-10T11:00:00.000Z,240.8,191.1,235.5,5.3,2.26
2024-06-10T12:00:00.000Z,240.6,191.7,234.8,5.8,2.49
2024-06-10T13:00:00.000Z,251.7,203.1,244.6,7.1,2.91
2024-06-10T14:00:00.000Z,276.2,227.8,269.3,6.9,2.56
2024-06-10T15:00:00.000Z,316.9,268.6,308.6,8.3,2.69
2024-06-10T16:00:00.000Z,348.4,299.4,330.5,17.9,5.42
2024-06-10T17:00:00.000Z,371.0,321.6,341.1,29.9,8.76
2024-06-10T18:00:00.000Z,389.7,340.1,355.3,34.4,9.69
2024-06-10T19:00:00.000Z,385.6,336.8,362.4,23.2,6.42
2024-06-10T20:00:00.000Z,379.9,331.9,367.5,12.4,3.36
2024-06-10T21:00:00.000Z,356.8,311.1,354.6,2.2,0.63
2024-06-10T22:00:00.000Z,312.6,270.2,314.3,-1.7,-0.54
2024-06-10T23:00:00.000Z,303.0,262.9,305.8,-2.8,-0.92
2024-06-11T00:00:00.000Z,297.8,258.4,300.0,-2.2,-0.75
2024-06-11T01:00:00.000Z,295.9,256.8,299.3,-3.4,-1.15
2024-06-11T02:00:00.000Z,292.9,253.9,292.0,0.9,0.31
2024-06-11T03:00:00.000Z,297.3,257.5,294.1,3.2,1.10
2024-06-11T04:00:00.000Z,290.6,248.2,272.7,17.9,6.55
2024-06-11T05:00:00.000Z,289.3,245.9,270.2,19.1,7.09
2024-06-11T06:00:00.000Z,258.2,215.5,250.6,7.6,3.02
2024-06-11T07:00:00.000Z,235.9,193.4,234.1,1.8,0.77
2024-06-11T08:00:00.000Z,224.0,180.7,222.7,1.3,0.57
2024-06-11T09:00:00.000Z,195.3,152.6,197.6,-2.3,-1.15
2024-06-11T10:00:00.000Z,177.6,135.6,180.1,-2.5,-1.41
2024-06-11T11:00:00.000Z,175.8,133.7,178.5,-2.7,-1.53
2024-06-11T12:00:00.000Z,177.9,135.1,182.7,-4.8,-2.63
2024-06-11T13:00:00.000Z,181.8,138.9,185.8,-4.0,-2.17
2024-06-11T14:00:00.000Z,200.1,157.1,202.2,-2.1,-1.03
2024-06-11T15:00:00.000Z,232.2,189.7,230.3,1.9,0.82
2024-06-11T16:00:00.000Z,289.0,245.1,281.9,7.1,2.53
2024-06-11T17:00:00.000Z,351.1,303.0,332.3,18.8,5.67
2024-06-11T18:00:00.000Z,391.8,340.5,351.7,40.1,11.40
2024-06-11T19:00:00.000Z,407.5,355.9,361.5,46.0,12.71
2024-06-11T20:00:00.000Z,418.3,367.7,386.5,31.8,8.22
2024-06-11T21:00:00.000Z,421.8,374.1,410.4,11.4,2.79
2024-06-11T22:00:00.000Z,411.1,366.2,403.1,8.0,1.98
2024-06-11T23:00:00.000Z,409.4,365.0,400.5,8.9,2.21
2024-06-12T00:00:00.000Z,406.5,362.5,397.9,8.6,2.16
2024-06-12T01:00:00.000Z,414.4,369.6,405.6,8.8,2.18
2024-06-12T02:00:00.000Z,418.4,373.4,409.4,9.0,2.20
2024-06-12T03:00:00.000Z,427.3,380.3,416.0,11.3,2.73
2024-06-12T04:00:00.000Z,429.9,379.9,400.4,29.5,7.36
2024-06-12T05:00:00.000Z,396.5,344.4,357.7,38.8,10.85
2024-06-12T06:00:00.000Z,322.9,272.2,300.4,22.5,7.49
2024-06-12T07:00:00.000Z,248.5,199.4,237.5,11.0,4.65
2024-06-12T08:00:00.000Z,224.9,176.1,218.1,6.8,3.11
2024-06-12T09:00:00.000Z,213.4,165.4,207.8,5.6,2.68
2024-06-12T10:00:00.000Z,206.7,159.2,202.3,4.4,2.16
2024-06-12T11:00:00.000Z,207.6,159.9,203.2,4.4,2.18
2024-06-12T12:00:00.000Z,205.9,159.0,201.3,4.6,2.26
2024-06-12T13:00:00.000Z,215.5,168.7,211.3,4.2,2.01
2024-06-12T14:00:00.000Z,231.2,184.5,225.4,5.8,2.57
2024-06-12T15:00:00.000Z,294.4,247.3,280.9,13.5,4.80
2024-06-12T16:00:00.000Z,382.7,333.1,368.5,14.2,3.86
2024-06-12T17:00:00.000Z,444.2,390.4,417.7,26.5,6.35
2024-06-12T18:00:00.000Z,493.1,436.4,461.2,31.9,6.92
2024-06-12T19:00:00.000Z,528.1,470.3,494.8,33.3,6.73
2024-06-12T20:00:00.000Z,536.6,477.8,493.7,42.9,8.69
2024-06-12T21:00:00.000Z,546.2,489.4,516.6,29.6,5.73
2024-06-12T22:00:00.000Z,556.4,501.1,532.0,24.4,4.59
2024-06-12T23:00:00.000Z,559.0,504.7,536.2,22.8,4.25
2024-06-13T00:00:00.000Z,568.2,514.0,550.8,17.4,3.16
2024-06-13T01:00:00.000Z,561.8,507.9,546.8,15.0,2.74
2024-06-13T02:00:00.000Z,562.7,508.6,544.1,18.6,3.41
2024-06-13T03:00:00.000Z,561.3,505.0,535.6,25.7,4.79
2024-06-13T04:00:00.000Z,527.9,470.0,485.9,42.0,8.64
2024-06-13T05:00:00.000Z,487.0,427.1,437.9,49.1,11.21
2024-06-13T06:00:00.000Z,423.7,365.3,388.3,35.4,9.10
2024-06-13T07:00:00.000Z,332.1,278.3,314.6,17.5,5.58
2024-06-13T08:00:00.000Z,260.5,208.5,248.0,12.5,5.05
2024-06-13T09:00:00.000Z,238.4,187.3,229.5,8.9,3.90
2024-06-13T10:00:00.000Z,230.2,179.9,221.9,8.3,3.75
2024-06-13T11:00:00.000Z,227.3,177.4,219.5,7.8,3.56
2024-06-13T12:00:00.000Z,230.7,180.9,222.1,8.6,3.88
2024-06-13T13:00:00.000Z,244.0,193.8,233.9,10.1,4.31
2024-06-13T14:00:00.000Z,276.8,225.5,263.0,13.8,5.25
2024-06-13T15:00:00.000Z,362.1,308.9,343.0,19.1,5.58
2024-06-13T16:00:00.000Z,459.5,400.4,428.0,31.5,7.36
2024-06-13T17:00:00.000Z,534.9,471.0,489.4,45.5,9.29
2024-06-13T18:00:00.000Z,581.8,515.8,519.5,62.3,12.00
2024-06-13T19:00:00.000Z,593.1,528.2,531.8,61.3,11.52
2024-06-13T20:00:00.000Z,581.6,520.5,536.2,45.4,8.47
2024-06-13T21:00:00.000Z,550.8,496.5,528.9,21.9,4.14
2024-06-13T22:00:00.000Z,501.5,452.7,483.5,18.0,3.71
2024-06-13T23:00:00.000Z,436.6,392.2,421.1,15.5,3.69
2024-06-14T00:00:00.000Z,406.2,364.6,392.5,13.7,3.49
2024-06-14T01:00:00.000Z,387.2,346.6,375.3,11.9,3.17
2024-06-14T02:00:00.000Z,388.4,348.2,376.1,12.3,3.26
2024-06-14T03:00:00.000Z,395.3,354.5,382.9,12.4,3.25
2024-06-14T04:00:00.000Z,392.6,349.0,369.6,23.0,6.21
2024-06-14T05:00:00.000Z,389.1,342.5,354.5,34.6,9.76
2024-06-14T06:00:00.000Z,378.2,329.8,339.1,39.1,11.53
2024-06-14T07:00:00.000Z,352.2,303.8,324.4,27.8,8.57
2024-06-14T08:00:00.000Z,310.1,263.3,293.3,16.8,5.74
2024-06-14T09:00:00.000Z,252.7,207.4,246.9,5.8,2.37
2024-06-14T10:00:00.000Z,215.8,171.7,212.6,3.2,1.52
2024-06-14T11:00:00.000Z,209.7,166.2,206.6,3.1,1.51
2024-06-14T12:00:00.000Z,221.9,178.7,217.3,4.6,2.14
2024-06-14T13:00:00.000Z,239.4,196.1,232.9,6.5,2.77
2024-06-14T14:00:00.000Z,263.1,219.9,255.0,8.1,3.17
2024-06-14T15:00:00.000Z,308.8,264.6,293.3,15.5,5.29
2024-06-14T16:00:00.000Z,354.7,307.0,320.0,34.7,10.84
2024-06-14T17:00:00.000Z,389.4,338.6,336.3,53.1,15.80
2024-06-14T18:00:00.000Z,436.7,384.6,376.0,60.7,16.14
2024-06-14T19:00:00.000Z,440.2,389.6,383.6,56.6,14.76
2024-06-14T20:00:00.000Z,418.6,370.8,372.9,45.7,12.25
2024-06-14T21:00:00.000Z,372.1,328.2,344.9,27.2,7.89
2024-06-14T22:00:00.000Z,320.2,280.0,308.1,12.1,3.92
2024-06-14T23:00:00.000Z,274.4,234.4,263.4,11.0,4.16
2024-06-15T00:00:00.000Z,261.1,221.6,250.9,10.2,4.06
2024-06-15T01:00:00.000Z,244.2,206.0,238.9,5.3,2.24
2024-06-15T02:00:00.000Z,238.7,201.1,233.1,5.6,2.42
2024-06-15T03:00:00.000Z,224.6,188.0,222.0,2.6,1.16
